"b","speedup","series"
"0.125",0.990365614145903,"worst-10 geomean"
"0.25",0.989343020349399,"worst-10 geomean"
"0.5",0.989543806113481,"worst-10 geomean"
"1",0.983362540156667,"worst-10 geomean"
"2",0.98370295005936,"worst-10 geomean"
"4",0.982909643348379,"worst-10 geomean"
"8",0.98218654401924,"worst-10 geomean"
"16",0.981706831937969,"worst-10 geomean"
"0.125",1.142212,"708.sqlite_r.2.1"
"0.25",1.14394,"708.sqlite_r.2.1"
"0.5",1.143094,"708.sqlite_r.2.1"
"1",1.143733,"708.sqlite_r.2.1"
"2",1.212912,"708.sqlite_r.2.1"
"4",1.212912,"708.sqlite_r.2.1"
"8",1.277637,"708.sqlite_r.2.1"
"16",1.277637,"708.sqlite_r.2.1"
"0.125",1.224097,"734.vpr_r.2.0"
"0.25",1.223507,"734.vpr_r.2.0"
"0.5",1.225983,"734.vpr_r.2.0"
"1",0.997503,"734.vpr_r.2.0"
"2",1.224679,"734.vpr_r.2.0"
"4",1.225598,"734.vpr_r.2.0"
"8",0.999768,"734.vpr_r.2.0"
"16",1.225411,"734.vpr_r.2.0"
NA,0.981747009184681,"ref: th14_loser10"
NA,1.277637,"ref: th14_sqlite"
NA,0.989280947344306,"ref: gate_loser10"
NA,1.141991,"ref: gate_sqlite"
