"rank","CkptId","gate_vs_th14"
1,"708.sqlite_r.2.1",0.89383
2,"706.stockfish_r.0.0",0.991396
3,"729.abc_r.1.2",0.991887
4,"782.lbm_r.0.1",0.993185
5,"736.ocio_r.0.4",0.993469
6,"737.gmsh_r.2.2",0.994365
7,"767.nest_r.2.2",0.995218
8,"748.flightdm_r.0.3",0.995371
9,"729.abc_r.0.2",0.995649
10,"767.nest_r.2.3",0.995948
11,"777.zstd_r.0.3",0.996207
12,"767.nest_r.0.2",0.996222
13,"723.llvm_r.1.2",0.996415
14,"749.fotonik3d_r.0.4",0.996591
15,"722.palm_r.0.3",0.997124
16,"777.zstd_r.2.0",0.99714
17,"706.stockfish_r.1.1",0.997386
18,"708.sqlite_r.0.4",0.997503
19,"727.cppcheck_r.0.1",0.997653
20,"727.cppcheck_r.0.0",0.997766
21,"748.flightdm_r.2.3",0.997964
22,"723.llvm_r.1.0",0.997976
23,"737.gmsh_r.1.2",0.998115
24,"721.gcc_r.2.3",0.998346
25,"729.abc_r.0.0",0.998351
26,"714.cpython_r.2.1",0.998387
27,"729.abc_r.0.3",0.998422
28,"748.flightdm_r.1.0",0.998429
29,"734.vpr_r.2.0",0.998457
30,"736.ocio_r.2.4",0.998501
31,"737.gmsh_r.1.0",0.998591
32,"734.vpr_r.0.4",0.998688
33,"721.gcc_r.2.0",0.998705
34,"731.astcenc_r.1.2",0.998724
35,"723.llvm_r.0.2",0.998745
36,"706.stockfish_r.0.2",0.998831
37,"753.ns3_r.2.1",0.99884
38,"748.flightdm_r.1.2",0.998876
39,"767.nest_r.1.2",0.998903
40,"731.astcenc_r.1.3",0.99905
41,"748.flightdm_r.0.2",0.999115
42,"753.ns3_r.2.2",0.999239
43,"729.abc_r.0.1",0.99933
44,"731.astcenc_r.0.3",0.999376
45,"735.gem5_r.1.2",0.999397
46,"708.sqlite_r.1.4",0.999429
47,"708.sqlite_r.1.2",0.999449
48,"723.llvm_r.0.3",0.999506
49,"748.flightdm_r.2.0",0.999515
50,"729.abc_r.2.0",0.999575
51,"749.fotonik3d_r.0.1",0.999633
52,"753.ns3_r.2.3",0.999686
53,"749.fotonik3d_r.0.2",0.999715
54,"748.flightdm_r.2.2",0.99975
55,"714.cpython_r.2.0",0.999754
56,"731.astcenc_r.2.0",0.999756
57,"753.ns3_r.0.0",0.999777
58,"766.femflow_r.0.4",0.999801
59,"777.zstd_r.2.2",0.999817
60,"706.stockfish_r.1.3",0.999844
61,"729.abc_r.2.3",0.999859
62,"729.abc_r.2.1",0.999884
63,"708.sqlite_r.0.0",0.999887
64,"706.stockfish_r.2.1",0.999943
65,"735.gem5_r.1.1",0.999965
66,"748.flightdm_r.0.1",0.999968
67,"708.sqlite_r.2.2",1
68,"709.cactus_r.0.0",1
69,"709.cactus_r.0.1",1
70,"709.cactus_r.0.2",1
71,"709.cactus_r.0.3",1
72,"710.omnetpp_r.1.0",1
73,"710.omnetpp_r.2.2",1
74,"714.cpython_r.0.2",1
75,"714.cpython_r.0.3",1
76,"714.cpython_r.1.1",1
77,"714.cpython_r.1.2",1
78,"714.cpython_r.1.3",1
79,"722.palm_r.0.0",1
80,"722.palm_r.0.2",1
81,"734.vpr_r.2.3",1
82,"735.gem5_r.0.0",1
83,"736.ocio_r.1.2",1
84,"736.ocio_r.2.0",1
85,"736.ocio_r.2.1",1
86,"736.ocio_r.2.3",1
87,"737.gmsh_r.1.3",1
88,"749.fotonik3d_r.0.0",1
89,"750.sealcrypto_r.0.0",1
90,"750.sealcrypto_r.0.1",1
91,"750.sealcrypto_r.0.2",1
92,"750.sealcrypto_r.0.3",1
93,"753.ns3_r.2.0",1
94,"765.roms_r.0.0",1
95,"765.roms_r.0.1",1
96,"765.roms_r.0.2",1
97,"765.roms_r.0.3",1
98,"765.roms_r.0.4",1
99,"766.femflow_r.0.2",1
100,"766.femflow_r.0.3",1
101,"767.nest_r.0.0",1
102,"767.nest_r.1.0",1
103,"772.marian_r.0.0",1
104,"772.marian_r.1.0",1
105,"772.marian_r.1.1",1
106,"772.marian_r.1.2",1
107,"772.marian_r.1.3",1
108,"772.marian_r.1.4",1
109,"710.omnetpp_r.2.0",1.000002
110,"737.gmsh_r.0.0",1.000007
111,"748.flightdm_r.0.0",1.00004
112,"714.cpython_r.2.3",1.00006
113,"753.ns3_r.1.3",1.000177
114,"736.ocio_r.0.1",1.000178
115,"706.stockfish_r.1.2",1.000194
116,"753.ns3_r.1.4",1.000212
117,"737.gmsh_r.1.1",1.000245
118,"737.gmsh_r.2.0",1.000293
119,"727.cppcheck_r.0.2",1.00036
120,"721.gcc_r.2.1",1.000391
121,"708.sqlite_r.2.3",1.000409
122,"753.ns3_r.1.0",1.000432
123,"714.cpython_r.2.4",1.000482
124,"706.stockfish_r.2.0",1.000495
125,"706.stockfish_r.1.0",1.00054
