"rank","CkptId","Benchmark","speedup"
1,"734.vpr_r.0.2","734.vpr_r",0.960488490258224
2,"714.cpython_r.2.4","714.cpython_r",0.977997294462965
3,"707.ntest_r.0.3","707.ntest_r",0.978346723591831
4,"727.cppcheck_r.1.0","727.cppcheck_r",0.978556351256223
5,"727.cppcheck_r.0.0","727.cppcheck_r",0.982529776000281
6,"727.cppcheck_r.2.1","727.cppcheck_r",0.984462960589667
7,"729.abc_r.1.3","729.abc_r",0.986786161614185
8,"708.sqlite_r.0.1","708.sqlite_r",0.988765144168991
9,"714.cpython_r.2.1","714.cpython_r",0.98990277675204
10,"734.vpr_r.1.4","734.vpr_r",0.989996847723177
11,"722.palm_r.0.2","722.palm_r",0.990067587895485
12,"729.abc_r.1.4","729.abc_r",0.990610104309651
13,"736.ocio_r.0.1","736.ocio_r",0.991171364618111
14,"772.marian_r.1.3","772.marian_r",0.991400590031516
15,"777.zstd_r.0.1","777.zstd_r",0.993004645318948
16,"708.sqlite_r.1.4","708.sqlite_r",0.993005382542325
17,"727.cppcheck_r.0.4","727.cppcheck_r",0.993140352457992
18,"777.zstd_r.1.0","777.zstd_r",0.993244942659882
19,"736.ocio_r.0.4","736.ocio_r",0.993434156882916
20,"707.ntest_r.0.0","707.ntest_r",0.993802027284393
21,"731.astcenc_r.0.0","731.astcenc_r",0.994015017386542
22,"729.abc_r.1.1","729.abc_r",0.994337275597685
23,"727.cppcheck_r.1.1","727.cppcheck_r",0.994482383699913
24,"707.ntest_r.0.2","707.ntest_r",0.994622067615697
25,"729.abc_r.1.0","729.abc_r",0.994865818643966
26,"777.zstd_r.1.1","777.zstd_r",0.994922782770764
27,"722.palm_r.0.0","722.palm_r",0.995239078462243
28,"777.zstd_r.1.2","777.zstd_r",0.995281167777092
29,"731.astcenc_r.1.0","731.astcenc_r",0.995329545302703
30,"735.gem5_r.2.1","735.gem5_r",0.99556687060022
31,"734.vpr_r.2.3","734.vpr_r",0.995876702092363
32,"737.gmsh_r.1.1","737.gmsh_r",0.99593569901428
33,"706.stockfish_r.2.2","706.stockfish_r",0.996178430805796
34,"731.astcenc_r.1.3","731.astcenc_r",0.996192062435312
35,"706.stockfish_r.1.2","706.stockfish_r",0.996645428067873
36,"734.vpr_r.0.3","734.vpr_r",0.996671897567685
37,"727.cppcheck_r.2.3","727.cppcheck_r",0.996766203385166
38,"753.ns3_r.2.2","753.ns3_r",0.997034885787253
