cid,vp_alone,vp_stacked,mrn_stacked,numOps,ipc_vtage,ipc_mrn_vtage
706.stockfish_r.0.0,4370588,4252803,287856,53414646,1.666952,1.672556
706.stockfish_r.0.2,4716457,4563734,414599,53538305,1.714389,1.713761
706.stockfish_r.0.3,3978592,3764369,307361,53519129,1.573433,1.572078
706.stockfish_r.1.0,265310,249931,51325,56197143,2.11789,2.115876
706.stockfish_r.1.1,121465,108225,31653,55960425,2.321927,2.316201
706.stockfish_r.1.2,144481,120537,28889,56058279,2.281197,2.277025
706.stockfish_r.1.3,115814,103276,27730,55955644,2.339845,2.33468
706.stockfish_r.2.0,154352,135898,29066,55946465,2.353168,2.352696
706.stockfish_r.2.1,144893,128015,32381,56054872,2.231593,2.2338
706.stockfish_r.2.2,98094,85151,21240,55936932,2.389124,2.392153
706.stockfish_r.2.3,180104,154581,43735,55941870,2.334311,2.324866
706.stockfish_r.2.4,93147,88569,21219,55897443,2.419018,2.427543
707.ntest_r.0.0,8056586,7958307,174856,55153684,2.163261,2.14624
707.ntest_r.0.1,8287790,7766138,655593,55693762,1.846436,1.839495
707.ntest_r.0.2,8216477,7883811,637115,55249537,2.120189,2.100157
707.ntest_r.0.3,10601541,9206727,1855789,55769411,1.943657,1.907131
708.sqlite_r.0.0,12099193,10265090,2068871,56150519,0.996785,0.994194
708.sqlite_r.0.1,22947783,16032491,7500843,50399267,1.974028,1.942511
708.sqlite_r.0.3,18547436,15455024,3561395,54935388,1.890377,1.888306
708.sqlite_r.0.4,12818554,11234419,2157861,55902279,0.826151,0.827625
708.sqlite_r.1.1,25848056,20724260,5204331,57473274,2.173699,2.162942
708.sqlite_r.1.2,19291724,16778275,3130808,54734771,1.914871,1.916165
708.sqlite_r.1.4,28455711,22665426,5826666,53281468,2.222316,2.212206
708.sqlite_r.2.1,23049687,15953939,7963590,52960529,1.845594,2.054384
708.sqlite_r.2.2,25313564,19978314,5496365,58360013,0.825554,0.825113
708.sqlite_r.2.3,24793876,21454625,3709421,51042769,2.477417,2.469966
708.sqlite_r.2.4,25124138,21342820,3998215,54266441,2.271885,2.264335
709.cactus_r.0.0,1157,1123,1030,55560047,0.547203,0.547013
709.cactus_r.0.1,581670,481576,107317,50315543,0.746388,0.745403
709.cactus_r.0.2,585131,554696,31471,50267917,0.685545,0.685324
709.cactus_r.0.3,588095,552754,37281,50264632,1.546765,1.545142
710.omnetpp_r.0.0,9989147,6040785,4307202,53326999,0.963386,0.963003
710.omnetpp_r.0.1,12290065,11319521,1181120,59301742,0.804437,0.807422
710.omnetpp_r.1.0,32847746,31496572,1337238,60469992,1.579029,1.580611
710.omnetpp_r.2.0,14598771,13861571,1018796,57891418,1.41543,1.417851
710.omnetpp_r.2.2,19786924,18957985,982498,60303508,1.583224,1.57829
714.cpython_r.0.2,27181179,26555995,675017,58566845,1.40242,1.409788
714.cpython_r.0.3,31006371,26901830,4226936,58768455,1.935172,1.912666
714.cpython_r.1.1,32467901,28069090,4405090,58684743,1.984495,1.984475
714.cpython_r.1.2,32540120,28465379,4078305,58697020,1.989338,1.989593
714.cpython_r.1.3,31776645,26849084,4989666,58874606,2.316844,2.317367
714.cpython_r.2.0,30884279,29636746,1349383,57928177,1.560526,1.536309
714.cpython_r.2.1,30404159,28283131,2135019,57331997,1.702627,1.701895
714.cpython_r.2.2,30153191,26844329,3352643,55191313,2.057068,2.051783
714.cpython_r.2.3,31484646,30053388,1453405,57796655,1.571286,1.556575
714.cpython_r.2.4,30432720,28424400,2055207,57786659,1.652134,1.658535
721.gcc_r.0.3,2441998,2042574,1477984,58507429,0.864353,0.870372
721.gcc_r.0.4,1060807,898977,1000525,58633626,0.975714,0.974982
721.gcc_r.1.0,7711407,6647618,1793315,59659678,1.049873,1.047434
721.gcc_r.1.1,6444635,5510903,1975358,58376700,1.357887,1.355084
721.gcc_r.2.0,21568990,18698613,3289389,60787434,0.639803,0.634822
721.gcc_r.2.1,10318786,9062409,2331245,60042605,1.184122,1.185802
