cid,base_ipc,evtall_spd,evesall_spd,confgate_spd,ea_vs_va,cg_vs_va,cg_vs_ea,va_wrong,ea_wrong,cg_wrong,ea_dw_vt,ea_dc_str,cg_dc_str,cg_dw_str,cg_dc_vt,cg_dw_vt,ea_ovwr_low,cg_ss_neg,va_cov,ea_cov,cg_cov,va_comvp,ea_comvp,cg_comvp,ea_comops,cg_comops
706.stockfish_r.0.0,1.667361,0.999954418989049,0.9911662801276988,1.0028919951948019,0.9912114605481368,1.0029377101095494,1.0118302199158675,4423.0,40035.0,5131.0,40035.0,0.0,9708.0,529.0,4155252.0,4602.0,37243.0,17.0,0.131061,0.131864,0.133063,4098919.0,4078559.0,4164960.0,53414647.0,53414647.0
706.stockfish_r.0.2,1.695219,1.0162409694558638,0.9947204461488457,1.0146930868519053,0.9788234051235496,0.9984768547514993,1.0200786470011605,3068.0,38479.0,3271.0,38479.0,0.0,10427.0,330.0,4446905.0,2941.0,37915.0,10.0,0.143988,0.142928,0.143559,4482427.0,4445925.0,4457332.0,53538305.0,53538305.0
706.stockfish_r.0.3,1.564088,1.0128579721857083,0.9922107963234806,1.0184829753824594,0.9796149347398907,1.0055535952238324,1.026478424903586,4063.0,39037.0,4430.0,39037.0,0.0,8387.0,644.0,3831314.0,3786.0,36518.0,20.0,0.126085,0.123961,0.126428,3802071.0,3735960.0,3839701.0,53519129.0,53519129.0
706.stockfish_r.1.0,2.117923,1.0016497294755289,0.5962586930686338,0.9359131564273112,0.5952766476369331,0.934371695899486,1.5696427864399802,279.0,31985.0,91563.0,30938.0,48.0,15260388.0,91313.0,123568.0,250.0,263850.0,4577.0,0.00476,0.004844,0.474703,132252.0,132522.0,15383956.0,56197669.0,56197149.0
706.stockfish_r.1.1,2.317957,0.9987877255704054,0.481357505769089,0.9137792461206139,0.4819417514309027,0.9148883418633891,1.89833800277119,182.0,34300.0,100981.0,34247.0,1.0,17059655.0,100795.0,65382.0,186.0,206868.0,4921.0,0.002294,0.002267,0.490459,68064.0,65964.0,17125037.0,55960943.0,55960418.0
706.stockfish_r.1.2,2.278085,0.9952069391616204,0.5135493188357766,0.9194885177682132,0.5160226467757545,0.9239169077165059,1.7904580612680128,184.0,33581.0,98481.0,33413.0,3.0,16609908.0,98290.0,66667.0,191.0,229911.0,4841.0,0.002417,0.002334,0.488148,69248.0,65686.0,16676575.0,56058967.0,56058280.0
706.stockfish_r.1.3,2.33262,0.9990358481021341,0.47600852260548226,0.91814011712152,0.47646791004522454,0.9190261979744855,1.9288312572556146,122.0,34564.0,101423.0,34492.0,1329.0,17124027.0,101316.0,60456.0,107.0,199626.0,4951.0,0.00223,0.00206,0.488245,64471.0,60845.0,17184483.0,55956347.0,55955114.0
706.stockfish_r.2.0,2.352555,1.001490719664365,0.5111128113901694,0.9185285785029468,0.510352019598805,0.9171613480460191,1.7971151535111247,233.0,34429.0,101239.0,34404.0,9.0,17092936.0,101020.0,76376.0,219.0,262609.0,4896.0,0.002598,0.002394,0.490187,74731.0,68667.0,17169312.0,55946992.0,55946465.0
706.stockfish_r.2.1,2.226561,1.005533645833193,0.5212293757054041,0.9212485083498725,0.5183609497954783,0.9161786999046847,1.7674531622533818,140.0,33440.0,97716.0,33239.0,24.0,16466276.0,97580.0,72351.0,136.0,227674.0,4824.0,0.002521,0.002664,0.486185,70881.0,73811.0,16538627.0,56055925.0,56054875.0
706.stockfish_r.2.2,2.390641,1.000765066774978,0.4684576228718574,0.9109983473051788,0.4680994955004661,0.9103019055620343,1.944676109058374,127.0,34705.0,101913.0,34468.0,7.0,17208212.0,101779.0,44109.0,134.0,210517.0,4986.0,0.001467,0.001619,0.488224,43462.0,46855.0,17252321.0,55939193.0,55936930.0
