bench,suite,workload,n_invs,n_ckpts,evtall_spd,evesall_spd,confgate_spd,ea_vs_va,cg_vs_va,cov_commit_ops_evtage,cov_commit_ops_eves,cov_commit_ops_confgate
706.stockfish_r,SPECint,stockfish,3,12,1.0031714140388854,0.6293584184408931,0.9487769920559426,0.6273687723088347,0.9457775398882784,0.025990000957721193,0.025704618865321674,0.22582513857982034
707.ntest_r,SPECint,ntest,1,4,1.0004771940813155,1.0014236216694399,1.001351521683148,1.0009459761738932,1.0008739105768776,0.13545975768675206,0.13450520360294735,0.13451135319979357
708.sqlite_r,SPECint,sqlite,3,11,1.0417416733716809,1.0289349326238892,1.0385638642028674,0.9877064140994366,0.9969495228519292,0.37685082999958647,0.37770700920472505,0.39198397677391367
709.cactus_r,SPECfp,cactus,1,4,1.0017643142883408,1.0009641159509952,1.0039996161269473,0.9992012109775402,1.0022313650094379,0.0036774506605847046,0.0036625252374099717,0.05299789549695329
710.omnetpp_r,SPECint,omnetpp,3,5,1.0243249845355296,1.0135476634190506,1.0244086935126746,0.9894786114961692,1.000081721112351,0.3125683876560453,0.3120671334698251,0.3164704400335166
714.cpython_r,SPECint,cpython,3,10,1.0768717260388838,1.0552502423438626,1.0704868202426043,0.9799219506165765,0.994070876185258,0.43813061460897035,0.4376459002156823,0.44307927061742863
721.gcc_r,SPECint,gcc,3,7,1.0217537770051408,1.0198314731699325,1.0297874887234924,0.9981186232158175,1.0078626689708936,0.11417017770744298,0.11448003845991557,0.11794541685535209
722.palm_r,SPECfp,palm,1,3,1.0044761264446258,1.0012240614272072,0.9972446905576154,0.9967624267697339,0.9928007886931008,0.16079294682675566,0.16098445629750682,0.2484975013105185
723.llvm_r,SPECint,llvm,2,4,1.0114545431869533,1.0058354111935293,1.008827628428733,0.9944445036791086,0.9974028345851874,0.09827109715856877,0.09854801000846763,0.10249146910016504
727.cppcheck_r,SPECint,cppcheck,3,11,1.0064264913423002,0.9995402112832776,1.0042492836848855,0.9931576919742661,0.9978366948046937,0.32463394610048124,0.32337366540879375,0.3245726011555045
729.abc_r,SPECint,abc,3,14,1.0154533606006393,1.0036737677126317,1.006931666972263,0.9883996711763897,0.991607991111147,0.1275419206873253,0.12803399149131642,0.15071398728192334
731.astcenc_r,SPECfp,astcenc,3,9,0.9989544484043725,0.9964321010813605,0.9968421987362623,0.9974750126724587,0.9978855395543971,0.023048113357169595,0.02333477990271539,0.02379398557298031
734.vpr_r,SPECint,vpr,3,10,1.007881526463875,0.9961108778689443,0.9780230171031502,0.9883213966266179,0.9703749810104343,0.23064448397348447,0.23126303754513988,0.2424006505023293
735.gem5_r,SPECint,gem5,3,4,1.0373223664888265,1.0313270323118715,1.0307902851344282,0.9942203751016687,0.9937029398329583,0.15750117508924838,0.16086183146452698,0.1571622078965301
736.ocio_r,SPECfp,ocio,3,8,1.0034604442395185,0.9824599354970766,1.001831817084108,0.9790719117400213,0.9983769891830218,0.07194284079177223,0.07214683254208311,0.17525255675044846
737.gmsh_r,SPECfp,gmsh,3,9,1.0338099344975877,1.033444383329414,1.0341741431619174,0.999646403893041,1.0003522975086387,0.20375291316383612,0.2041014425049781,0.2107922290708315
748.flightdm_r,SPECfp,flightdm,3,10,1.1082326598318932,1.1096753621109714,1.1096753621109714,1.001301804513952,1.001301804513952,0.21105296238794624,0.21005138614475816,0.21005138614475816
749.fotonik3d_r,SPECfp,fotonik3d,1,5,1.0012765890452304,0.9996826632801493,1.0075471566954473,0.9984081064288131,1.0062625729182344,0.032870224805120536,0.03292739143712356,0.05191245006675451
750.sealcrypto_r,SPECint,sealcrypto,1,4,1.0115276448656763,0.8760806181586251,1.0189247054021118,0.8660965645431891,1.0073127616175215,0.17787289104808396,0.17853095352918616,0.20587776545324693
753.ns3_r,SPECint,ns3,3,10,1.0297829155762637,1.01673106699758,1.0279955760874995,0.9873256310808187,0.998264353135278,0.1180849343312362,0.11778188855622514,0.11781488041586219
765.roms_r,SPECfp,roms,1,5,1.0012512859739202,1.0002821068063783,1.0012755493896286,0.9990320320371933,1.0000242330931788,0.047102397338998576,0.04714933601269077,0.06093174459594728
766.femflow_r,SPECfp,femflow,1,3,1.0043266255240808,0.9996815264446676,1.0019553845436555,0.9953749119446184,0.9976389742936588,0.07432498018629201,0.0730840945142937,0.07643243319358176
767.nest_r,SPECfp,nest,3,10,1.044244198072497,1.0390811153036954,1.0370630832345522,0.9950556749289755,0.9931231460503206,0.3172545553582066,0.317044555626645,0.3249230022859347
772.marian_r,SPECfp,marian,2,7,1.0078271460698938,1.046490884830249,0.9584733671701984,1.0383634623368978,0.9510295201988214,0.023715535250249442,0.024139262277145364,0.06178511485330612
777.zstd_r,SPECint,zstd,3,9,1.0040370308140727,0.9936056605222415,0.999023649825653,0.9896105721485456,0.99500677680747,0.1651760386461821,0.1654894851936097,0.16975865903819057
782.lbm_r,SPECfp,lbm,1,2,0.9978959417191708,0.9961043173977032,1.0007341718652727,0.9982045980481883,1.0028442145392555,0.025523685934848217,0.025557956043297945,0.058450110087406824
