ckpt,bench,suite,ipc_base,spd_vtage_d64,cov_vtage_d64,acc_vtage_d64,wrongs_vtage_d64,flushed_vtage_d64,spd_vtage_d64_all,cov_vtage_d64_all,acc_vtage_d64_all,wrongs_vtage_d64_all,flushed_vtage_d64_all,spd_evtage,cov_evtage,acc_evtage,wrongs_evtage,flushed_evtage,spd_evtage_all,cov_evtage_all,acc_evtage_all,wrongs_evtage_all,flushed_evtage_all
706.stockfish_r.0.0,706.stockfish_r,SPECint,1.667361,0.993560482702906,0.229116,0.99876,3020.0,169286.0,1.0066872141066032,0.151998,0.999012,5482.0,280680.0,1.0045071223328361,0.236156,0.998917,2718.0,157743.0,0.999954418989049,0.131061,0.999076,4423.0,240874.0
706.stockfish_r.0.2,706.stockfish_r,SPECint,1.695219,1.009467803274975,0.254376,0.999228,2079.0,116711.0,1.0087192274272527,0.168057,0.999344,4029.0,206738.0,1.0093757797665082,0.259764,0.999451,1510.0,86148.0,1.0162409694558638,0.143988,0.999417,3068.0,161588.0
706.stockfish_r.0.3,706.stockfish_r,SPECint,1.564088,1.0058801039327712,0.200262,0.998819,2586.0,153425.0,1.0074772007713122,0.13907,0.999046,4849.0,258052.0,1.0082201257218264,0.211358,0.998952,2422.0,153325.0,1.0128579721857083,0.126085,0.999118,4063.0,237818.0
706.stockfish_r.1.0,706.stockfish_r,SPECint,2.117923,1.000382922325316,0.011518,0.998198,185.0,11539.0,1.0023749683062133,0.010323,0.998392,540.0,25820.0,0.9991307521567121,0.014245,0.998621,175.0,14582.0,1.0016497294755289,0.00476,0.998199,279.0,18047.0
706.stockfish_r.1.1,706.stockfish_r,SPECint,2.317957,1.0022122929804134,0.005876,0.998275,99.0,7192.0,1.0083025698923664,0.004699,0.99828,283.0,16404.0,0.9965853551209105,0.007836,0.998262,133.0,10690.0,0.9987877255704054,0.002294,0.997736,182.0,12389.0
706.stockfish_r.1.2,706.stockfish_r,SPECint,2.278085,1.011810797226618,0.005593,0.998041,104.0,7101.0,1.0028646867873674,0.005243,0.998247,315.0,16094.0,1.0066814890576954,0.007766,0.998372,120.0,8563.0,0.9952069391616204,0.002417,0.99778,184.0,15083.0
706.stockfish_r.1.3,706.stockfish_r,SPECint,2.33262,0.9992180466599789,0.004881,0.998545,70.0,4840.0,1.0004934365648928,0.004238,0.998649,202.0,11890.0,0.9999729917431901,0.006858,0.998683,89.0,7462.0,0.9990358481021341,0.00223,0.99845,122.0,9310.0
706.stockfish_r.2.0,706.stockfish_r,SPECint,2.352555,1.0003277287884873,0.006678,0.99791,137.0,8779.0,0.9991273317733272,0.005836,0.998045,401.0,21685.0,0.9972340710419098,0.008057,0.998267,137.0,9774.0,1.001490719664365,0.002598,0.99745,233.0,16129.0
706.stockfish_r.2.1,706.stockfish_r,SPECint,2.226561,1.000394779213325,0.006455,0.998083,117.0,7938.0,1.0029565774303961,0.005583,0.998499,286.0,15050.0,1.0027917492491785,0.008921,0.998778,103.0,8742.0,1.005533645833193,0.002521,0.998373,140.0,8406.0
706.stockfish_r.2.2,706.stockfish_r,SPECint,2.390641,0.9970740065112245,0.00352,0.997793,77.0,5813.0,0.9990697055726895,0.003695,0.998382,212.0,11508.0,0.9982121949719761,0.005733,0.998169,104.0,9932.0,1.000765066774978,0.001467,0.99756,127.0,11264.0
