"suite","config","n","min","q1","median","q3","max","whisker_lo","whisker_hi","mean"
"SPECint","VTAGE loads-only",115,0.99589,0.999225,0.999629,0.9998825,0.999999,0.998275,0.999999,0.99932992173913
"SPECint","VTAGE all-insts",115,0.995325,0.999201,0.999656,0.999852,0.999999,0.998247,0.999999,0.999358530434783
"SPECint","E-VTAGE loads-only",115,0.995179,0.999115,0.999512,0.9998855,0.999998,0.998102,0.999998,0.999313086956522
"SPECint","E-VTAGE all-insts",115,0.995448,0.9992115,0.999707,0.9998975,0.999987,0.998199,0.999987,0.999371373913043
"SPECfp","VTAGE loads-only",75,0.989365,0.9992955,0.99981,0.999924,1,0.998525,1,0.999149866666667
"SPECfp","VTAGE all-insts",75,0.96319,0.998702,0.999378,0.9998555,1,0.997041,1,0.998621133333333
"SPECfp","E-VTAGE loads-only",75,0.989975,0.9993905,0.999702,0.999883,1,0.998693,1,0.999034146666667
"SPECfp","E-VTAGE all-insts",75,0.972028,0.9993325,0.999707,0.9998445,1,0.998777,1,0.998952973333333
"All","VTAGE loads-only",190,0.989365,0.99922875,0.999717,0.9999095,1,0.998262,1,0.999258847368421
"All","VTAGE all-insts",190,0.96319,0.99906025,0.9995545,0.99985575,1,0.997966,1,0.999067452631579
"All","E-VTAGE loads-only",190,0.989975,0.9991955,0.9996285,0.99988675,1,0.998169,1,0.999202978947368
"All","E-VTAGE all-insts",190,0.972028,0.99928625,0.999707,0.999878,1,0.99845,1,0.999206215789474
