"suite","config","n","min","q1","median","q3","max","whisker_lo","whisker_hi","mean"
"SPECint","VTAGE loads-only",115,0.00352,0.326264,0.502344,0.743329,0.977598,0.00352,0.977598,0.507531782608696
"SPECint","VTAGE all-insts",115,0.003085,0.205926,0.336631,0.695821,0.976695,0.003085,0.976695,0.433180817391304
"SPECint","E-VTAGE loads-only",115,0.005474,0.374229,0.54486,0.7476085,0.980155,0.005474,0.980155,0.53888432173913
"SPECint","E-VTAGE all-insts",115,0.001467,0.202384,0.299958,0.6153985,0.94982,0.001467,0.94982,0.394538165217391
"SPECfp","VTAGE loads-only",75,0.011932,0.261572,0.70044,0.885896,0.999206,0.011932,0.999206,0.583070973333333
"SPECfp","VTAGE all-insts",75,2e-05,0.16951,0.374427,0.491685,0.875773,2e-05,0.875773,0.38766808
"SPECfp","E-VTAGE loads-only",75,0.059941,0.272964,0.724254,0.914853,1.001082,0.059941,1.001082,0.609541653333333
"SPECfp","E-VTAGE all-insts",75,6.9e-05,0.153263,0.356781,0.482365,0.816134,6.9e-05,0.816134,0.355410306666667
"All","VTAGE loads-only",190,0.00352,0.32521925,0.530394,0.789854,0.999206,0.00352,0.999206,0.537349884210526
"All","VTAGE all-insts",190,2e-05,0.1775025,0.3630705,0.66748125,0.976695,2e-05,0.976695,0.415215263157895
"All","E-VTAGE loads-only",190,0.005474,0.36140625,0.5894435,0.7946355,1.001082,0.005474,1.001082,0.56677537368421
"All","E-VTAGE all-insts",190,6.9e-05,0.19510625,0.3162195,0.59961425,0.94982,6.9e-05,0.94982,0.379092957894737
