"suite","config","n","min","q1","median","q3","max","whisker_lo","whisker_hi","geomean"
"SPECint","VTAGE loads-only",115,0.99189531477486,1.00194135183552,1.008794630183,1.0277392661509,1.23632326809847,0.99189531477486,1.06132227138309,1.02118771377433
"SPECint","VTAGE all-insts",115,0.946983802907549,1.00226689641949,1.00836433935963,1.02087285388,1.26157154779483,0.992016699117683,1.04817274107874,1.01922309133522
"SPECint","E-VTAGE loads-only",115,0.990759353786244,1.00194790709137,1.01021977991184,1.03180422422813,1.22772992595518,0.990759353786244,1.07138467084667,1.02390996573795
"SPECint","E-VTAGE all-insts",115,0.882351766675545,1.00334051725898,1.0135400271663,1.03327388398694,1.24230451039934,0.993713546349448,1.06983813649809,1.02273045064358
"SPECfp","VTAGE loads-only",75,0.968164565613671,1.00027207740168,1.00270524557128,1.03357419547594,1.12409248807924,0.968164565613671,1.08327050184957,1.02119344079712
"SPECfp","VTAGE all-insts",75,0.932107949338354,0.999980036890072,1.00299254345337,1.03532127348421,1.13523757773412,0.99175515480822,1.08776505795395,1.01650254014589
"SPECfp","E-VTAGE loads-only",75,0.916805028841963,0.999214600427693,1.00234532097719,1.03461741286409,1.12932996993973,0.970902578315758,1.08179584056734,1.01996635064768
"SPECfp","E-VTAGE all-insts",75,0.919576134079464,0.999948356973494,1.00372938116941,1.05044977209464,1.13779948519194,0.984988977400289,1.120147826044,1.02535722717889
"All","VTAGE loads-only",190,0.968164565613671,1.00046916925638,1.00662627021545,1.02967202566429,1.23632326809847,0.968164565613671,1.06719006412704,1.02118997443738
"All","VTAGE all-insts",190,0.932107949338354,1.00050764310417,1.00663795458107,1.02890763200354,1.26157154779483,0.99175515480822,1.07127827228768,1.01814832081483
"All","E-VTAGE loads-only",190,0.916805028841963,1.00015641411934,1.00813287065794,1.03246950434832,1.22772992595518,0.970902578315758,1.07761297261406,1.02235145735446
"All","E-VTAGE all-insts",190,0.882351766675545,1.00099710752412,1.01044948618588,1.03772031119874,1.24230451039934,0.951197727827591,1.09155651658355,1.02376653127591
