"bench","suite","ratio","sign"
"782.lbm_r","SPECfp",0.982753269153694,"VTAGE ahead"
"734.vpr_r","SPECint",0.989860299642429,"VTAGE ahead"
"714.cpython_r","SPECint",0.996339755041617,"VTAGE ahead"
"709.cactus_r","SPECfp",0.997516286498832,"VTAGE ahead"
"706.stockfish_r","SPECint",0.998637070981229,"VTAGE ahead"
"737.gmsh_r","SPECfp",0.998851726561004,"VTAGE ahead"
"749.fotonik3d_r","SPECfp",0.999528278628652,"VTAGE ahead"
"729.abc_r","SPECint",1.00001249173591,"E-VTAGE ahead"
"731.astcenc_r","SPECfp",1.00025339185984,"E-VTAGE ahead"
"727.cppcheck_r","SPECint",1.00051289484537,"E-VTAGE ahead"
"777.zstd_r","SPECint",1.00069885277155,"E-VTAGE ahead"
"707.ntest_r","SPECint",1.00073523449211,"E-VTAGE ahead"
"722.palm_r","SPECfp",1.00101512613772,"E-VTAGE ahead"
"765.roms_r","SPECfp",1.00128248319449,"E-VTAGE ahead"
"766.femflow_r","SPECfp",1.00137370201087,"E-VTAGE ahead"
"767.nest_r","SPECfp",1.00176567223522,"E-VTAGE ahead"
"736.ocio_r","SPECfp",1.0021822980015,"E-VTAGE ahead"
"750.sealcrypto_r","SPECint",1.00221528020356,"E-VTAGE ahead"
"708.sqlite_r","SPECint",1.00364686195768,"E-VTAGE ahead"
"710.omnetpp_r","SPECint",1.00380429538758,"E-VTAGE ahead"
"721.gcc_r","SPECint",1.00442541370738,"E-VTAGE ahead"
"723.llvm_r","SPECint",1.006299739689,"E-VTAGE ahead"
"735.gem5_r","SPECint",1.02330478747935,"E-VTAGE ahead"
"753.ns3_r","SPECint",1.02640972239958,"E-VTAGE ahead"
"772.marian_r","SPECfp",1.03726248791793,"E-VTAGE ahead"
"748.flightdm_r","SPECfp",1.06875435042029,"E-VTAGE ahead"
