bench,suite,workload,n_invs,n_ckpts,speedup,coverage,cov_commit_ops,cov_commit_insts
706.stockfish_r,SPECint,stockfish,3,12,1.003171,0.045316,0.026021,0.027842
707.ntest_r,SPECint,ntest,1,4,1.000477,0.189793,0.135498,0.149806
708.sqlite_r,SPECint,sqlite,3,11,1.041742,0.69163,0.377475,0.405333
709.cactus_r,SPECfp,cactus,1,4,1.001764,0.026178,0.003677,0.003698
710.omnetpp_r,SPECint,omnetpp,3,5,1.024325,0.542679,0.314855,0.373895
714.cpython_r,SPECint,cpython,3,10,1.076872,0.76346,0.439214,0.51075
721.gcc_r,SPECint,gcc,3,7,1.021754,0.223572,0.114405,0.136539
722.palm_r,SPECfp,palm,1,3,1.004476,0.403073,0.160838,0.169302
723.llvm_r,SPECint,llvm,2,4,1.011455,0.188756,0.098428,0.114298
727.cppcheck_r,SPECint,cppcheck,3,11,1.006426,0.624419,0.326693,0.376676
729.abc_r,SPECint,abc,3,14,1.015453,0.239808,0.1278,0.13373
731.astcenc_r,SPECfp,astcenc,3,9,0.998954,0.092583,0.023068,0.023999
734.vpr_r,SPECint,vpr,3,10,1.007882,0.455519,0.23087,0.259787
735.gem5_r,SPECint,gem5,3,4,1.037322,0.290555,0.157766,0.186726
736.ocio_r,SPECfp,ocio,3,8,1.00346,0.231971,0.071986,0.077148
737.gmsh_r,SPECfp,gmsh,3,9,1.03381,0.486132,0.204306,0.241061
748.flightdm_r,SPECfp,flightdm,3,10,1.108233,0.470825,0.212037,0.249961
749.fotonik3d_r,SPECfp,fotonik3d,1,5,1.001277,0.277482,0.032878,0.039775
750.sealcrypto_r,SPECint,sealcrypto,1,4,1.011528,0.219733,0.177964,0.18716
753.ns3_r,SPECint,ns3,3,10,1.029783,0.220722,0.118312,0.140715
765.roms_r,SPECfp,roms,1,5,1.001251,0.322986,0.047104,0.049985
766.femflow_r,SPECfp,femflow,1,3,1.004327,0.296263,0.074348,0.146524
767.nest_r,SPECfp,nest,3,10,1.044244,0.740909,0.31751,0.370411
772.marian_r,SPECfp,marian,2,7,1.007827,0.278972,0.023719,0.023993
777.zstd_r,SPECint,zstd,3,9,1.004037,0.290451,0.165361,0.17458
782.lbm_r,SPECfp,lbm,1,2,0.997896,0.376313,0.025524,0.02721
