"bench","suite","speedup","cov_commit_ops"
"709.cactus_r","SPECfp",1.001764,0.003677
"722.palm_r","SPECfp",1.004476,0.160838
"731.astcenc_r","SPECfp",0.998954,0.023068
"736.ocio_r","SPECfp",1.00346,0.071986
"737.gmsh_r","SPECfp",1.03381,0.204306
"748.flightdm_r","SPECfp",1.108233,0.212037
"749.fotonik3d_r","SPECfp",1.001277,0.032878
"765.roms_r","SPECfp",1.001251,0.047104
"766.femflow_r","SPECfp",1.004327,0.074348
"767.nest_r","SPECfp",1.044244,0.31751
"772.marian_r","SPECfp",1.007827,0.023719
"782.lbm_r","SPECfp",0.997896,0.025524
"706.stockfish_r","SPECint",1.003171,0.026021
"707.ntest_r","SPECint",1.000477,0.135498
"708.sqlite_r","SPECint",1.041742,0.377475
"710.omnetpp_r","SPECint",1.024325,0.314855
"714.cpython_r","SPECint",1.076872,0.439214
"721.gcc_r","SPECint",1.021754,0.114405
"723.llvm_r","SPECint",1.011455,0.098428
"727.cppcheck_r","SPECint",1.006426,0.326693
"729.abc_r","SPECint",1.015453,0.1278
"734.vpr_r","SPECint",1.007882,0.23087
"735.gem5_r","SPECint",1.037322,0.157766
"750.sealcrypto_r","SPECint",1.011528,0.177964
"753.ns3_r","SPECint",1.029783,0.118312
"777.zstd_r","SPECint",1.004037,0.165361
"MEAN(26)","All",1.01891106722262,0.154140653846154
