"bench","suite","speedup","coverage"
"709.cactus_r","SPECfp",1.001764,0.026178
"722.palm_r","SPECfp",1.004476,0.403073
"731.astcenc_r","SPECfp",0.998954,0.092583
"736.ocio_r","SPECfp",1.00346,0.231971
"737.gmsh_r","SPECfp",1.03381,0.486132
"748.flightdm_r","SPECfp",1.108233,0.470825
"749.fotonik3d_r","SPECfp",1.001277,0.277482
"765.roms_r","SPECfp",1.001251,0.322986
"766.femflow_r","SPECfp",1.004327,0.296263
"767.nest_r","SPECfp",1.044244,0.740909
"772.marian_r","SPECfp",1.007827,0.278972
"782.lbm_r","SPECfp",0.997896,0.376313
"706.stockfish_r","SPECint",1.003171,0.045316
"707.ntest_r","SPECint",1.000477,0.189793
"708.sqlite_r","SPECint",1.041742,0.69163
"710.omnetpp_r","SPECint",1.024325,0.542679
"714.cpython_r","SPECint",1.076872,0.76346
"721.gcc_r","SPECint",1.021754,0.223572
"723.llvm_r","SPECint",1.011455,0.188756
"727.cppcheck_r","SPECint",1.006426,0.624419
"729.abc_r","SPECint",1.015453,0.239808
"734.vpr_r","SPECint",1.007882,0.455519
"735.gem5_r","SPECint",1.037322,0.290555
"750.sealcrypto_r","SPECint",1.011528,0.219733
"753.ns3_r","SPECint",1.029783,0.220722
"777.zstd_r","SPECint",1.004037,0.290451
"MEAN(26)","All",1.01891106722262,0.345773076923077
