cid,vp_alone_vp,mrnfirst_vp,mrnfirst_mrn,vpfirst_vp,vpfirst_mrn,numOps,ipc_base,ipc_vtage,ipc_mrnfirst,ipc_vpfirst
706.stockfish_r.0.0,4370588,4252803,287856,4450374,144029,53414646,1.667361,1.666952,1.672556,1.673214
706.stockfish_r.0.2,4716457,4563734,414599,4756989,170612,53538305,1.695219,1.714389,1.713761,1.714795
706.stockfish_r.0.3,3978592,3764369,307361,3940660,132796,53519129,1.564088,1.573433,1.572078,1.57532
706.stockfish_r.1.0,265310,249931,51325,278991,22640,56197143,2.117923,2.11789,2.115876,2.123287
706.stockfish_r.1.1,121465,108225,31653,124391,19166,55960425,2.317957,2.321927,2.316201,2.315258
706.stockfish_r.1.2,144481,120537,28889,137387,13949,56058279,2.278085,2.281197,2.277025,2.272234
706.stockfish_r.1.3,115814,103276,27730,113627,14312,55955644,2.33262,2.339845,2.33468,2.336091
706.stockfish_r.2.0,154352,135898,29066,147444,16127,55946465,2.352555,2.353168,2.352696,2.362633
706.stockfish_r.2.1,144893,128015,32381,141945,16109,56054872,2.226561,2.231593,2.2338,2.229145
706.stockfish_r.2.2,98094,85151,21240,93753,12733,55936932,2.390641,2.389124,2.392153,2.4048
706.stockfish_r.2.3,180104,154581,43735,179624,19276,55941870,2.319377,2.334311,2.324866,2.320486
706.stockfish_r.2.4,93147,88569,21219,92099,14490,55897443,2.413528,2.419018,2.427543,2.414965
707.ntest_r.0.0,8056586,7958307,174856,8046592,89093,55153684,2.163288,2.163261,2.14624,2.148347
707.ntest_r.0.1,8287790,7766138,655593,8282051,139026,55693762,1.834211,1.846436,1.839495,1.839622
707.ntest_r.0.2,8216477,7883811,637115,8219716,269665,55249537,2.122377,2.120189,2.100157,2.09829
707.ntest_r.0.3,10601541,9206727,1855789,10595179,474220,55769411,1.961874,1.943657,1.907131,1.914963
708.sqlite_r.0.0,12099193,10265090,2068871,11928284,374244,56150519,0.975901,0.996785,0.994194,0.996681
708.sqlite_r.0.1,22947783,16032491,7500843,22947063,781531,50399267,1.972789,1.974028,1.942511,1.949979
708.sqlite_r.0.3,18547436,15455024,3561395,18639812,469450,54935388,1.812586,1.890377,1.888306,1.928166
708.sqlite_r.0.4,12818554,11234419,2157861,12784648,572629,55902279,0.81775,0.826151,0.827625,0.824942
708.sqlite_r.1.1,25848056,20724260,5204331,25850435,80111,57473274,2.157855,2.173699,2.162942,2.159574
708.sqlite_r.1.2,19291724,16778275,3130808,19348407,539956,54734771,1.821831,1.914871,1.916165,1.902546
708.sqlite_r.1.4,28455711,22665426,5826666,28454296,97507,53281468,2.158088,2.222316,2.212206,2.219916
708.sqlite_r.2.1,23049687,15953939,7963590,23027596,947793,52960529,1.661315,1.845594,2.054384,2.06304
708.sqlite_r.2.2,25313564,19978314,5496365,25320369,151223,58360013,0.740494,0.825554,0.825113,0.825203
708.sqlite_r.2.3,24793876,21454625,3709421,24787459,372428,51042769,2.476955,2.477417,2.469966,2.470803
708.sqlite_r.2.4,25124138,21342820,3998215,25121501,221012,54266441,2.276357,2.271885,2.264335,2.264284
709.cactus_r.0.0,1157,1123,1030,1167,986,55560047,0.548824,0.547203,0.547013,0.547013
709.cactus_r.0.1,581670,481576,107317,582630,6263,50315543,0.744461,0.746388,0.745403,0.745403
709.cactus_r.0.2,585131,554696,31471,579561,6606,50267917,0.680613,0.685545,0.685324,0.685324
709.cactus_r.0.3,588095,552754,37281,588671,1364,50264632,1.536699,1.546765,1.545142,1.545142
710.omnetpp_r.0.0,9989147,6040785,4307202,9979297,367162,53326999,0.937111,0.963386,0.963003,0.962567
710.omnetpp_r.0.1,12290065,11319521,1181120,12275436,367182,59301742,0.794185,0.804437,0.807422,0.803898
710.omnetpp_r.1.0,32847746,31496572,1337238,32773947,38757,60469992,1.553873,1.579029,1.580611,1.580369
710.omnetpp_r.2.0,14598771,13861571,1018796,14731034,230682,57891418,1.402544,1.41543,1.417851,1.417603
710.omnetpp_r.2.2,19786924,18957985,982498,19748693,157054,60303508,1.544827,1.583224,1.57829,1.58329
714.cpython_r.0.2,27181179,26555995,675017,27155220,72648,58566845,1.304994,1.40242,1.409788,1.404272
714.cpython_r.0.3,31006371,26901830,4226936,31017141,112396,58768455,1.876449,1.935172,1.912666,1.935421
714.cpython_r.1.1,32467901,28069090,4405090,32467793,6387,58684743,1.805273,1.984495,1.984475,1.984475
714.cpython_r.1.2,32540120,28465379,4078305,32542184,1522,58697020,1.891551,1.989338,1.989593,1.989986
714.cpython_r.1.3,31776645,26849084,4989666,31777157,61724,58874606,2.24696,2.316844,2.317367,2.317367
714.cpython_r.2.0,30884279,29636746,1349383,30911866,31999,57928177,1.424676,1.560526,1.536309,1.535159
714.cpython_r.2.1,30404159,28283131,2135019,30394242,16999,57331997,1.597766,1.702627,1.701895,1.708909
714.cpython_r.2.2,30153191,26844329,3352643,30190180,59088,55191313,1.651162,2.057068,2.051783,2.056184
714.cpython_r.2.3,31484646,30053388,1453405,31472169,22441,57796655,1.50584,1.571286,1.556575,1.576138
714.cpython_r.2.4,30432720,28424400,2055207,30454545,28150,57786659,1.545719,1.652134,1.658535,1.658599
721.gcc_r.0.3,2441998,2042574,1477984,2433843,1080487,58507429,0.866428,0.864353,0.870372,0.8694
721.gcc_r.0.4,1060807,898977,1000525,1087166,808408,58633626,0.977612,0.975714,0.974982,0.975671
721.gcc_r.1.0,7711407,6647618,1793315,7719275,715185,59659678,1.032184,1.049873,1.047434,1.047339
721.gcc_r.1.1,6444635,5510903,1975358,6455994,1032767,58376700,1.343254,1.357887,1.355084,1.352434
721.gcc_r.2.0,21568990,18698613,3289389,21271338,536763,60787434,0.578217,0.639803,0.634822,0.633572
721.gcc_r.2.1,10318786,9062409,2331245,10338897,1080732,60042605,1.165907,1.184122,1.185802,1.184589
721.gcc_r.2.3,2808695,2499896,755449,2806878,405868,59718385,1.506343,1.513532,1.512336,1.511416
722.palm_r.0.0,1509528,1176074,457180,1596768,123067,52902705,2.092242,2.085896,2.089929,2.091196
722.palm_r.0.2,1593607,1283273,471185,1532802,199881,52974077,2.113988,2.10088,2.102629,2.1052
722.palm_r.0.3,10621193,9493486,1280825,10630127,164403,52630851,1.006766,1.012145,1.009756,1.013354
723.llvm_r.0.2,6680946,5708141,1600734,6653440,654941,57617995,1.134693,1.143744,1.14294,1.146085
723.llvm_r.0.3,17980326,15628457,2481035,17980632,149222,58920510,1.936528,1.942769,1.947387,1.956697
723.llvm_r.1.0,2163398,1849513,1000029,2153256,693334,58307884,1.116853,1.120939,1.120814,1.125328
723.llvm_r.1.2,17977634,15660196,2483943,17986741,143801,58837999,1.921808,1.940579,1.934799,1.937949
727.cppcheck_r.0.0,26207456,24613563,1628421,26210883,24376,58091511,1.425225,1.419776,1.417595,1.422398
727.cppcheck_r.0.1,22750263,22212610,635169,22764098,84740,56711184,1.795964,1.791952,1.786441,1.789958
727.cppcheck_r.0.2,25694295,23417527,2373116,25706876,79313,58929365,1.841516,1.845692,1.837409,1.841312
727.cppcheck_r.0.4,19655284,16686748,3217826,19479090,355922,55566472,0.344041,0.343394,0.342495,0.342476
727.cppcheck_r.1.0,20310257,18223023,2176025,20215097,137792,58626509,1.961793,1.959051,1.917241,1.917813
727.cppcheck_r.1.1,22330930,17618744,4998285,22327877,286567,56502417,0.356857,0.357837,0.359542,0.3578
727.cppcheck_r.1.2,5811534,4646458,1977012,5836576,825911,59752664,1.946096,1.945342,1.936644,1.940215
727.cppcheck_r.2.0,24905503,21161402,3833958,24903372,92226,58819480,1.752899,1.810205,1.796431,1.803599
727.cppcheck_r.2.1,30347857,28526017,1567963,30350707,8963,54628130,2.005337,1.991048,1.974675,1.998394
727.cppcheck_r.2.2,24469960,22584944,1937638,24427335,71334,58497419,1.340478,1.348918,1.342962,1.341499
727.cppcheck_r.2.3,20174165,18215773,1989107,20164986,30594,57448884,1.133652,1.15453,1.149469,1.157518
729.abc_r.0.0,5642057,2502037,3308279,5645755,171235,52442992,0.877293,0.881913,0.882532,0.880415
729.abc_r.0.1,3362126,1880307,1598946,3338812,125199,52096772,1.177741,1.183002,1.179328,1.179858
729.abc_r.0.2,5457380,2305733,3345046,5453479,204709,52400886,0.998476,1.002197,0.994166,0.995771
729.abc_r.0.3,5743052,2481269,3451740,5740941,200190,52432406,0.948595,0.961706,0.961278,0.9604
729.abc_r.1.0,9266499,3429162,6371925,9253356,550945,52123529,2.037131,2.065914,2.052694,2.049572
729.abc_r.1.1,9052765,3391753,6291028,9065308,677191,52056859,2.068439,2.092881,2.072301,2.078307
