"rank","ckpt","bench","suite","spd_lvp","spd_all","gap","plotted"
1,"727.cppcheck_r.1.0","727.cppcheck_r","SPECint",0.970135483203376,0.869821127917166,0.10031435528621,TRUE
2,"727.cppcheck_r.2.1","727.cppcheck_r","SPECint",0.975743229192899,0.937094862359793,0.0386483668331058,TRUE
3,"707.ntest_r.0.3","707.ntest_r","SPECint",0.987400821867256,0.949007938328353,0.0383928835389022,TRUE
4,"736.ocio_r.2.4","736.ocio_r","SPECfp",1.00658218479564,0.962552903522834,0.0440292812728067,TRUE
5,"736.ocio_r.2.3","736.ocio_r","SPECfp",1.00090588158976,0.96513277114936,0.0357731104404003,TRUE
6,"737.gmsh_r.1.1","737.gmsh_r","SPECfp",0.990597695438115,0.967333377656317,0.023264317781798,TRUE
7,"729.abc_r.1.3","729.abc_r","SPECint",0.989461628536574,0.971851739501993,0.0176098890345814,TRUE
8,"727.cppcheck_r.1.2","727.cppcheck_r","SPECint",0.997769894188159,0.974791068888688,0.0229788252994714,TRUE
9,"731.astcenc_r.0.0","731.astcenc_r","SPECfp",0.993017122240762,0.975076105924162,0.0179410163166006,TRUE
10,"731.astcenc_r.1.0","731.astcenc_r","SPECfp",0.991546099714444,0.975734779167351,0.0158113205470924,TRUE
11,"707.ntest_r.0.2","707.ntest_r","SPECint",0.992634202123374,0.976459884365501,0.0161743177578724,TRUE
12,"736.ocio_r.2.0","736.ocio_r","SPECfp",0.973758431827588,0.978548382504466,-0.0047899506768776,TRUE
13,"731.astcenc_r.1.3","731.astcenc_r","SPECfp",0.991768831004239,0.978629001659298,0.0131398293449408,TRUE
14,"706.stockfish_r.0.2","706.stockfish_r","SPECint",0.991362177984084,0.979655725897362,0.0117064520867216,TRUE
15,"734.vpr_r.0.3","734.vpr_r","SPECint",0.985986965470668,0.981728286824269,0.00425867864639939,TRUE
16,"734.vpr_r.1.4","734.vpr_r","SPECint",0.986706897804496,0.981953898088038,0.00475299971645893,TRUE
17,"708.sqlite_r.1.2","708.sqlite_r","SPECint",0.998529501364287,0.982881507670031,0.0156479936942561,TRUE
18,"708.sqlite_r.0.1","708.sqlite_r","SPECint",0.990546885652749,0.983203474877445,0.00734341077530332,TRUE
19,"706.stockfish_r.0.3","706.stockfish_r","SPECint",0.987987888149516,0.983942719335485,0.00404516881403094,TRUE
20,"731.astcenc_r.0.1","731.astcenc_r","SPECfp",0.998294357115265,0.984067195594251,0.0142271615210136,TRUE
21,"709.cactus_r.0.0","709.cactus_r","SPECfp",0.996745769135461,0.984612553386878,0.0121332157485824,TRUE
22,"734.vpr_r.0.2","734.vpr_r","SPECint",0.977771070050236,0.984952081671374,-0.00718101162113793,TRUE
23,"736.ocio_r.0.2","736.ocio_r","SPECfp",0.987177267747738,0.985227462277463,0.00194980547027512,TRUE
24,"707.ntest_r.0.0","707.ntest_r","SPECint",0.994442718676385,0.985576123012747,0.00886659566363801,TRUE
25,"708.sqlite_r.2.4","708.sqlite_r","SPECint",0.994076061004491,0.985936300852634,0.00813976015185669,TRUE
26,"729.abc_r.0.2","729.abc_r","SPECint",0.992461511343287,0.986179938225856,0.00628157311743094,TRUE
27,"706.stockfish_r.0.0","706.stockfish_r","SPECint",0.993869354027112,0.987031602634342,0.00683775139276976,TRUE
28,"777.zstd_r.0.1","777.zstd_r","SPECint",0.99706497683104,0.987107222721719,0.00995775410932065,TRUE
29,"772.marian_r.1.3","772.marian_r","SPECfp",0.996455864662882,0.987649617078255,0.00880624758462656,TRUE
30,"727.cppcheck_r.2.2","727.cppcheck_r","SPECint",1.00551445081531,0.988277316002202,0.0172371348131038,TRUE
31,"731.astcenc_r.1.1","731.astcenc_r","SPECfp",0.999558062208006,0.988477173562299,0.0110808886457062,TRUE
32,"750.sealcrypto_r.0.2","750.sealcrypto_r","SPECint",1.00155626401234,0.988527770269196,0.013028493743143,TRUE
