"bench","suite","speedup","cov_commit_ops"
"709.cactus_r","SPECfp",1.00081,0.000471
"722.palm_r","SPECfp",0.997873,0.021928
"731.astcenc_r","SPECfp",0.998193,0.002994
"736.ocio_r","SPECfp",1.006975,0.030219
"737.gmsh_r","SPECfp",1.010034,0.049557
"748.flightdm_r","SPECfp",1.003787,0.024683
"749.fotonik3d_r","SPECfp",1.00037,0.00749
"765.roms_r","SPECfp",1.002187,0.006322
"766.femflow_r","SPECfp",1.003151,0.004035
"767.nest_r","SPECfp",1.019002,0.091908
"772.marian_r","SPECfp",1.053901,0.002486
"782.lbm_r","SPECfp",1.0003,0.002494
"706.stockfish_r","SPECint",1.001561,0.00231
"707.ntest_r","SPECint",0.993092,0.008855
"708.sqlite_r","SPECint",1.031822,0.083392
"710.omnetpp_r","SPECint",1.00499,0.021605
"714.cpython_r","SPECint",1.022427,0.044823
"721.gcc_r","SPECint",1.012335,0.030589
"723.llvm_r","SPECint",1.003998,0.025046
"727.cppcheck_r","SPECint",0.998075,0.042331
"729.abc_r","SPECint",1.00567,0.086337
"734.vpr_r","SPECint",1.019768,0.096282
"735.gem5_r","SPECint",1.002115,0.019456
"750.sealcrypto_r","SPECint",1.001553,0.059483
"753.ns3_r","SPECint",1.000565,0.015674
"777.zstd_r","SPECint",0.99754,0.030807
"MEAN(26)","All",1.00730881818625,0.0312145
