"rank","ckpt","bench","suite","spd_vtage","spd_vtage_all","gap"
1,"734.vpr_r.2.3","734.vpr_r","SPECint",0.994807856271674,0.904338723867761,0.0904691324039132
2,"772.marian_r.1.3","772.marian_r","SPECfp",0.996856612544157,0.986527659088064,0.0103289534560934
3,"736.ocio_r.0.1","736.ocio_r","SPECfp",0.994656511219263,0.989785661470657,0.00487084974860552
4,"772.marian_r.1.4","772.marian_r","SPECfp",1.00205744956179,0.990084774008076,0.0119726755537172
5,"707.ntest_r.0.3","707.ntest_r","SPECint",1.00435756832498,0.990714490329144,0.0136430779958348
6,"736.ocio_r.0.2","736.ocio_r","SPECfp",0.99736314168887,0.992566394820956,0.00479674686791365
7,"727.cppcheck_r.2.1","727.cppcheck_r","SPECint",0.994445322656491,0.992874514358435,0.00157080829805656
8,"767.nest_r.1.0","767.nest_r","SPECfp",0.998336724058759,0.993673487206146,0.00466323685261283
9,"736.ocio_r.2.3","736.ocio_r","SPECfp",0.999717103927265,0.993686082088994,0.00603102183827187
10,"722.palm_r.0.2","722.palm_r","SPECfp",1.00280701687994,0.993799397158357,0.0090076197215877
11,"731.astcenc_r.1.3","731.astcenc_r","SPECfp",0.999509094849134,0.99581928744824,0.00368980740089397
12,"731.astcenc_r.0.0","731.astcenc_r","SPECfp",0.998503356303099,0.99587228852743,0.00263106777566913
13,"727.cppcheck_r.0.0","727.cppcheck_r","SPECint",0.991329790033153,0.996176744022874,-0.0048469539897209
14,"749.fotonik3d_r.0.2","749.fotonik3d_r","SPECfp",0.999358429180126,0.996889707083154,0.00246872209697158
15,"722.palm_r.0.0","722.palm_r","SPECfp",1.00191278064392,0.996966890063386,0.00494589058053518
16,"709.cactus_r.0.0","709.cactus_r","SPECfp",1.00005466233255,0.997046411964491,0.00300825036805963
17,"731.astcenc_r.1.0","731.astcenc_r","SPECfp",0.998323839676542,0.997422682438163,0.000901157238379469
18,"749.fotonik3d_r.0.1","749.fotonik3d_r","SPECfp",1.00048912594502,0.997571546938505,0.00291757900651812
19,"721.gcc_r.0.3","721.gcc_r","SPECint",1.00107452667735,0.997605109714829,0.00346941696251746
20,"727.cppcheck_r.0.1","727.cppcheck_r","SPECint",0.997911984872748,0.997766102215857,0.000145882656890639
21,"772.marian_r.0.0","772.marian_r","SPECfp",0.999227485582523,0.997819954199125,0.00140753138339822
22,"708.sqlite_r.2.4","708.sqlite_r","SPECint",0.997944962059993,0.998035457531486,-9.04954714925355e-05
23,"721.gcc_r.0.4","721.gcc_r","SPECint",0.99707450399545,0.998058534469708,-0.000984030474257658
24,"731.astcenc_r.2.2","731.astcenc_r","SPECfp",0.999970985844836,0.998072430562575,0.00189855528226091
25,"727.cppcheck_r.0.4","727.cppcheck_r","SPECint",0.999552378931581,0.998119410186577,0.00143296874500431
26,"777.zstd_r.0.1","777.zstd_r","SPECint",0.996964116928326,0.998266650529082,-0.00130253360075616
27,"731.astcenc_r.0.3","731.astcenc_r","SPECfp",0.99915452938833,0.998280101298524,0.000874428089806867
28,"765.roms_r.0.1","765.roms_r","SPECfp",0.995629586872268,0.998600339390573,-0.00297075251830414
29,"727.cppcheck_r.1.0","727.cppcheck_r","SPECint",1.00213121363977,0.998602299019316,0.00352891462045168
30,"731.astcenc_r.2.0","731.astcenc_r","SPECfp",0.999584061690914,0.998622680471011,0.000961381219902968
31,"766.femflow_r.0.3","766.femflow_r","SPECfp",1.0009461260893,0.998701647622023,0.00224447846727571
32,"753.ns3_r.0.0","753.ns3_r","SPECint",1.00617909168108,0.998834810645714,0.00734428103536289
33,"707.ntest_r.0.2","707.ntest_r","SPECint",1.00243264980727,0.998969080422564,0.00346356938470416
34,"737.gmsh_r.1.3","737.gmsh_r","SPECfp",1,0.998978409341647,0.00102159065835272
35,"777.zstd_r.0.3","777.zstd_r","SPECint",0.998696138013065,0.999017892819641,-0.000321754806575369
36,"731.astcenc_r.1.2","731.astcenc_r","SPECfp",0.999837909047359,0.999109015973702,0.000728893073657533
37,"749.fotonik3d_r.0.0","749.fotonik3d_r","SPECfp",0.999854920024664,0.999341766778566,0.000513153246097242
38,"706.stockfish_r.2.2","706.stockfish_r","SPECint",0.998531356234583,0.999365442155472,-0.000834085920888961
39,"727.cppcheck_r.1.2","727.cppcheck_r","SPECint",1.00484200162787,0.999612557653887,0.00522944397398706
40,"706.stockfish_r.0.0","706.stockfish_r","SPECint",0.987842464829152,0.999754702191067,-0.011912237361915
41,"753.ns3_r.2.3","753.ns3_r","SPECint",1.010007856138,0.999938546066367,0.0100693100716354
42,"706.stockfish_r.1.0","706.stockfish_r","SPECint",1.0008834126642,0.999984418696997,0.000898993967202721
43,"707.ntest_r.0.0","707.ntest_r","SPECint",1.00048722130387,0.999987518998857,0.000499702305009952
44,"736.ocio_r.2.4","736.ocio_r","SPECfp",1.00553421761425,0.999996434138135,0.00553778347611289
