ckpt,bench,suite,ipc_base,spd_lvp,cov_lvp,acc_lvp,wrongs_lvp,flushed_lvp,spd_lvp_all,cov_lvp_all,acc_lvp_all,wrongs_lvp_all,flushed_lvp_all,spd_vtage,cov_vtage,acc_vtage,wrongs_vtage,flushed_vtage,spd_vtage_all,cov_vtage_all,acc_vtage_all,wrongs_vtage_all,flushed_vtage_all
706.stockfish_r.0.0,706.stockfish_r,SPECint,1.667361,0.9938693540271122,0.27663686450248187,0.9880684022478747,39920.0,2084844.0,0.9870316026343424,0.1552362645927752,0.9907120185908553,59872.0,2701994.0,0.9878424648291521,0.2243425733923151,0.9987218550211221,3048.0,170374.0,0.9997547021910671,0.13772540218953747,0.9989712081444365,5174.0,264568.0
706.stockfish_r.0.2,706.stockfish_r,SPECint,1.695219,0.9913621779840835,0.27756428715813825,0.9897483534299625,34234.0,1822279.0,0.9796557258973619,0.15603638488393262,0.9904764248106914,61542.0,2857964.0,1.0089251005327335,0.24823656047515638,0.9991763855078848,2165.0,124060.0,1.011308273444316,0.14905888110125065,0.9992515092360676,4077.0,206676.0
706.stockfish_r.0.3,706.stockfish_r,SPECint,1.564088,0.9879878881495159,0.2536407160515069,0.9851196252773199,48453.0,2546598.0,0.9839427193354849,0.1451300943163499,0.9889422602163987,68866.0,3136913.0,1.0098479113707157,0.19242480637616108,0.9987358556023933,2660.0,156223.0,1.0059747277646782,0.1301004869855865,0.9990703605239036,4421.0,234190.0
706.stockfish_r.1.0,706.stockfish_r,SPECint,2.117923,0.9986335669427076,0.02185589488139631,0.9865995810489812,2674.0,142876.0,1.0016648386178346,0.017059794589772814,0.9900332108598275,5645.0,235578.0,1.0008834126642,0.01151340535728873,0.9982852689010132,176.0,10727.0,0.9999844186969972,0.009539920881927738,0.9983406634124338,515.0,26528.0
706.stockfish_r.1.1,706.stockfish_r,SPECint,2.317957,0.9977255833477499,0.011356391655431569,0.9839669290366936,1819.0,93902.0,0.9927384330252891,0.009049294511891749,0.9876111620302708,4001.0,168754.0,0.9922992531785535,0.005634809919776109,0.9984008722514992,88.0,6359.0,1.0017127151193919,0.0041399059056134975,0.9980281301709873,286.0,14705.0
706.stockfish_r.1.2,706.stockfish_r,SPECint,2.278085,0.993874240864586,0.01176278498811667,0.9861880636069086,1573.0,82843.0,1.0025082470583846,0.009387891880778121,0.9897697506166575,3347.0,137031.0,0.9944093394232437,0.00564040058673927,0.997983456877719,108.0,7100.0,1.0013660596509788,0.005038461934153973,0.9982396507096408,304.0,14784.0
706.stockfish_r.1.3,706.stockfish_r,SPECint,2.33262,1.0000767377455395,0.010385764753727988,0.9868569786378005,1372.0,71329.0,1.0003493925285731,0.008161437338804608,0.9897962319820512,2988.0,133116.0,0.9997689293584039,0.004698678008539117,0.9982732943385638,80.0,5258.0,1.003097375483362,0.004039903194172947,0.9986113643695734,198.0,11615.0
706.stockfish_r.2.0,706.stockfish_r,SPECint,2.352555,1.0002452652541598,0.013379437966454962,0.9838444422946696,2171.0,112078.0,0.9991766398660179,0.010658125172202236,0.9882657630527347,4481.0,189985.0,1.0030128944913084,0.006334384265422973,0.9976843662560705,144.0,9513.0,1.0002605677656846,0.005336158001583317,0.997915789361464,391.0,20575.0
706.stockfish_r.2.1,706.stockfish_r,SPECint,2.226561,0.9997615156288107,0.012658959573957813,0.986195566888976,1689.0,86587.0,1.0000772491748486,0.010099430479267486,0.9901209528096033,3468.0,154116.0,1.0032103319873116,0.006832435460525431,0.9984673499086603,99.0,6567.0,1.0022599874874303,0.005210137008762807,0.9984873108435632,269.0,15107.0
706.stockfish_r.2.2,706.stockfish_r,SPECint,2.390641,0.9969690137498688,0.008610689796797369,0.987450157881393,1089.0,55925.0,0.9974052984115975,0.0069212662535609246,0.9902115085037018,2438.0,108498.0,0.9985313562345831,0.0035805542789454263,0.9977734562160029,79.0,5999.0,0.9993654421554721,0.0033402174850143463,0.998201317345043,213.0,11133.0
706.stockfish_r.2.3,706.stockfish_r,SPECint,2.319377,1.0012770670744773,0.01582017989281225,0.9831500642793845,2700.0,137208.0,0.9998771221754807,0.013053690659419262,0.9878198149156233,5728.0,242796.0,1.0035281025896179,0.008249284824055295,0.9983166224319276,137.0,10182.0,1.006438798004809,0.0062596806049194965,0.9985452271213172,321.0,17501.0
706.stockfish_r.2.4,706.stockfish_r,SPECint,2.413528,0.9980294407191465,0.008071754782375581,0.9845506301396526,1270.0,64130.0,0.9981019486825925,0.006335523869731044,0.9880049460549116,2755.0,118601.0,0.9999038751570315,0.003459102191169025,0.9960168562027363,138.0,9430.0,1.0022746783961072,0.0029396963415883478,0.9968022536498087,336.0,15467.0
707.ntest_r.0.0,707.ntest_r,SPECint,2.163288,0.9944427186763852,0.03166548730265191,0.9743133206959271,6694.0,553594.0,0.9855761230127472,0.21878108349077868,0.9970765151367758,28700.0,1322120.0,1.0004872213038671,0.03118807498053104,0.9977340390340721,548.0,44585.0,0.9999875189988572,0.20851415490426659,0.999438630807289,4957.0,198337.0
707.ntest_r.0.1,707.ntest_r,SPECint,1.834211,1.0003701864180292,0.11607393341677615,0.9933294058512278,6171.0,471025.0,0.993005711992786,0.22187446037196465,0.9966519604789589,33162.0,1380368.0,1.0066573583955172,0.11488437736630115,0.9991160069162153,772.0,57513.0,1.0066649911051673,0.21295861751509979,0.9995953269093935,3641.0,175568.0
707.ntest_r.0.2,707.ntest_r,SPECint,2.122377,0.9926342021233738,0.09593617856010532,0.9836966228004991,13054.0,997200.0,0.9764598843655015,0.23311499704259764,0.9952756325822633,49917.0,2293631.0,1.002432649807268,0.07848220878204103,0.9984747996769786,950.0,77362.0,0.9989690804225638,0.2066515147960456,0.9992547802215629,6615.0,321954.0
707.ntest_r.0.3,707.ntest_r,SPECint,1.961874,0.9874008218672556,0.26962118348196723,0.9877586989817516,28629.0,2939350.0,0.9490079383283534,0.27299481685588534,0.9900124343218679,127247.0,6625997.0,1.0043575683249792,0.2427232713760748,0.9994191304347826,1169.0,118959.0,0.9907144903291445,0.24373004307137186,0.9991767870025968,9004.0,539646.0
708.sqlite_r.0.0,708.sqlite_r,SPECint,0.975901,1.0140516302370834,0.5515785609976259,0.9945296380625165,38518.0,2550299.0,1.001705090987713,0.3812536161854273,0.9949179833944725,74368.0,3514092.0,1.0276985063034056,0.6846831513258642,0.9995768481425835,3113.0,242175.0,1.0213997116510793,0.45992647293228256,0.9993429357654329,9723.0,527824.0
708.sqlite_r.0.1,708.sqlite_r,SPECint,1.972789,0.9905468856527485,0.6127177358732616,0.9966496945313085,29285.0,1654683.0,0.9832034748774452,0.6197643765161928,0.9982116965826668,35059.0,1891028.0,1.001543500090481,0.7576266238712571,0.9998738928263288,1346.0,105202.0,1.0006280448644027,0.737869686115765,0.999900886840879,2278.0,154794.0
