"suite","config","n","min","q1","median","q3","max","whisker_lo","whisker_hi","mean"
"SPECint","LVP loads-only",115,0.974313320695927,0.994549249295669,0.997437800923007,0.998826760164091,0.999998678143744,0.989101313410108,0.999998678143744,0.99563616023967
"SPECint","LVP all-insts",115,0.973437162597369,0.995172322879407,0.997481929513237,0.998799784319051,0.999999447262725,0.989769750616658,0.999999447262725,0.996120514025729
"SPECint","VTAGE loads-only",115,0.995456559970868,0.999164138711798,0.999598569562248,0.999871389069411,0.999999312290537,0.998169153494777,0.999999312290537,0.999316308618905
"SPECint","VTAGE all-insts",115,0.994754889077299,0.999153218538015,0.999614950052248,0.999835661338145,0.999998463444688,0.998164246434009,0.999998463444688,0.999320759865807
"SPECfp","LVP loads-only",75,0.955075317702034,0.996542818704659,0.998348766533087,0.999170684578706,1,0.993097497842968,1,0.99559730823469
"SPECfp","LVP all-insts",75,0.98248331428006,0.995915516319336,0.997704895002382,0.999212746028423,1,0.991879967734084,1,0.996519092193742
"SPECfp","VTAGE loads-only",75,0.989195272931908,0.999280200682545,0.99982960314624,0.999914006185289,1,0.998342520140308,1,0.999146563994326
"SPECfp","VTAGE all-insts",75,0.951807228915663,0.998554063918611,0.999314914059307,0.999816319968303,0.999992213303571,0.996669532234386,0.999992213303571,0.998390702084555
"All","LVP loads-only",190,0.955075317702034,0.994629172485288,0.997909774063406,0.999041739237086,1,0.988068402247875,1,0.995620823921915
"All","LVP all-insts",190,0.973437162597369,0.995259965082565,0.997514584826378,0.998937047244942,1,0.989769750616658,1,0.996277847513103
"All","VTAGE loads-only",190,0.989195272931908,0.999189662873825,0.99970525345811,0.999907910766315,1,0.998169153494777,1,0.999249304161834
"All","VTAGE all-insts",190,0.951807228915663,0.998999577390622,0.999537407278126,0.999834909954597,0.999998463444688,0.997915789361464,0.999998463444688,0.99895363179426
